Age_Group,Gender,Financial_Background,Current_Study_Occupation,Sleep_Hours,Screen_Time,Free_Time_Activity,Exercise_Frequency,Stress_Level,Experienced_Issue,Main_Reason,Anxious_Exhausted_Frequency,Can_Talk_Openly,Current_Emotional_State,Preferred_Support_Resource,Need_MH_Awareness_in_College
27-30,Male,Middle Class,Undergraduate Student,More than 10 hours,6–8 hours,Watch movies / listen to music,Never,4 (High),Anxiety,Relationship i,Often,No,Stressed,Mental Health Apps,Yes
19-22,Male,Middle Class,Undergraduate Student,6–8 hours,0–2 hours,Scroll social media,1–2 times a week,2 (Low),Depression,Academic press,Sometimes,No,Anxious,Mental Health Apps,Yes
23-26,Female,Lower Class,Postgraduate Student,6–8 hours,2–4 hours,Watch movies / listen to music,Never,4 (High),Panic attacks,Relationship i,Often,Sometimes,Neutral,Family/Friends,No
15-18,Female,Middle Class,Undergraduate Student,8–10 hours,2–4 hours,Talk to friends/family,Never,4 (High),Anxiety,Uncertainty ab,Often,No,Anxious,Family/Friends,Yes
15-18,Female,Middle Class,School Student,Less than 6 hours,6–8 hours,Scroll social media,1–2 times a week,2 (Low),Depression,Academic press,Sometimes,Sometimes,Neutral,Online Therapy Platforms,Yes
15-18,Female,Lower Class,Undergraduate Student,8–10 hours,6–8 hours,Scroll social media,3–5 times a week,2 (Low),None of these,Not applicable,Almost every day,Yes,Neutral,Family/Friends,Yes
27-30,Male,Middle Class,Postgraduate Student,6–8 hours,More than 8 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Depression,Academic press,Sometimes,Sometimes,Neutral,School/College Counselors,Yes
15-18,Male,Lower Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Social media c,Sometimes,Sometimes,Neutral,Family/Friends,Yes
19-22,Female,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,2 (Low),Anxiety,Family expecta,Rarely,Sometimes,Depressed / Burnt out,Family/Friends,Yes
15-18,Male,Lower Class,School Student,6–8 hours,More than 8 hours,Talk to friends/family,1–2 times a week,4 (High),Anxiety,Academic press,Sometimes,No,Neutral,Mental Health Apps,Yes
15-18,Male,Rich,Postgraduate Student,6–8 hours,0–2 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Academic press,Sometimes,Yes,Neutral,Family/Friends,Yes
23-26,Female,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Read or learn something new,1–2 times a week,3 (Moderate),Anxiety,Relationship i,Rarely,Yes,Neutral,School/College Counselors,Yes
27-30,Male,Middle Class,Postgraduate Student,8–10 hours,6–8 hours,Watch movies / listen to music,Never,1 (Very Low),Anxiety,Academic press,Almost every day,Yes,Anxious,Support Groups,Yes
19-22,Male,Rich,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Academic press,Sometimes,No,Neutral,Family/Friends,Yes
15-18,Female,Lower Class,Postgraduate Student,Less than 6 hours,2–4 hours,Read or learn something new,1–2 times a week,3 (Moderate),Anxiety,Financial stre,Sometimes,No,Anxious,Family/Friends,Yes
19-22,Female,Middle Class,Undergraduate Student,8–10 hours,2–4 hours,Read or learn something new,3–5 times a week,4 (High),Anxiety,Academic press,Sometimes,Sometimes,Neutral,Mental Health Apps,Yes
15-18,Female,Middle Class,School Student,8–10 hours,More than 8 hours,Watch movies / listen to music,1–2 times a week,1 (Very Low),None of these,Not applicable,Often,Sometimes,Neutral,School/College Counselors,Yes
15-18,Female,Middle Class,Postgraduate Student,Less than 6 hours,More than 8 hours,Scroll social media,1–2 times a week,4 (High),Anxiety,Academic press,Sometimes,Yes,Neutral,Family/Friends,Yes
19-22,Male,Middle Class,School Student,6–8 hours,6–8 hours,Watch movies / listen to music,Daily,3 (Moderate),None of these,Not applicable,Often,No,Happy and stable,Family/Friends,Yes
15-18,Male,Lower Class,Working Professional,8–10 hours,2–4 hours,Overthinking,Never,3 (Moderate),None of these,Not applicable,Rarely,Yes,Neutral,Family/Friends,Yes
27-30,Female,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,Never,3 (Moderate),Panic attacks,Family expecta,Often,Sometimes,Anxious,Mental Health Apps,Yes
27-30,Male,Middle Class,School Student,6–8 hours,6–8 hours,Scroll social media,3–5 times a week,5 (Very High),None of these,Not applicable,Almost every day,Yes,Stressed,Family/Friends,Yes
27-30,Male,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,3–5 times a week,3 (Moderate),Anxiety,Academic press,Rarely,No,Neutral,Family/Friends,Yes
19-22,Male,Lower Class,Undergraduate Student,6–8 hours,6–8 hours,Watch movies / listen to music,Never,1 (Very Low),Anxiety,Academic press,Often,Sometimes,Stressed,Family/Friends,Yes
19-22,Female,Middle Class,School Student,8–10 hours,2–4 hours,Watch movies / listen to music,Daily,3 (Moderate),Anxiety,Financial stre,Sometimes,No,Depressed / Burnt out,School/College Counselors,Yes
23-26,Female,Middle Class,School Student,6–8 hours,6–8 hours,Talk to friends/family,3–5 times a week,4 (High),None of these,Not applicable,Sometimes,Yes,Neutral,Support Groups,Yes
27-30,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Sleep / do nothing,Daily,4 (High),Panic attacks,Relationship i,Sometimes,Sometimes,Stressed,Family/Friends,Yes
27-30,Male,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Read or learn something new,3–5 times a week,4 (High),Anxiety,Academic press,Rarely,Sometimes,Stressed,Family/Friends,Yes
15-18,Male,Lower Class,School Student,6–8 hours,More than 8 hours,Scroll social media,3–5 times a week,4 (High),Panic attacks,Financial stre,Sometimes,Sometimes,Stressed,Family/Friends,Yes
23-26,Female,Middle Class,Undergraduate Student,Less than 6 hours,0–2 hours,Talk to friends/family,1–2 times a week,2 (Low),Depression,Academic press,Almost every day,Yes,Neutral,Mental Health Apps,Yes
19-22,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,3–5 times a week,2 (Low),Depression,Academic press,Rarely,Yes,Happy and stable,School/College Counselors,Yes
15-18,Male,Middle Class,School Student,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),None of these,Not applicable,Often,Yes,Neutral,Family/Friends,Yes
19-22,Male,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Watch movies / listen to music,Daily,4 (High),Anxiety,Financial stre,Rarely,Yes,Anxious,Mental Health Apps,Yes
19-22,Male,Middle Class,Undergraduate Student,Less than 6 hours,6–8 hours,Watch movies / listen to music,3–5 times a week,2 (Low),None of these,Not applicable,Sometimes,Yes,Neutral,Online Therapy Platforms,No
27-30,Female,Lower Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,4 (High),Depression,Family expecta,Sometimes,Sometimes,Stressed,Online Therapy Platforms,Yes
27-30,Female,Lower Class,Undergraduate Student,Less than 6 hours,2–4 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Panic attacks,Academic press,Sometimes,Yes,Neutral,School/College Counselors,Yes
19-22,Female,Rich,Working Professional,Less than 6 hours,0–2 hours,Scroll social media,Daily,3 (Moderate),Anxiety,Academic press,Sometimes,Yes,Anxious,Family/Friends,No
23-26,Male,Rich,School Student,8–10 hours,2–4 hours,Scroll social media,1–2 times a week,4 (High),None of these,Not applicable,Sometimes,Yes,Stressed,School/College Counselors,No
19-22,Female,Lower Class,Postgraduate Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,2 (Low),None of these,Not applicable,Sometimes,No,Stressed,Mental Health Apps,Yes
19-22,Female,Middle Class,Undergraduate Student,6–8 hours,0–2 hours,Talk to friends/family,1–2 times a week,2 (Low),None of these,Not applicable,Rarely,No,Neutral,Family/Friends,Yes
15-18,Female,Middle Class,Undergraduate Student,More than 10 hours,2–4 hours,Talk to friends/family,1–2 times a week,4 (High),Anxiety,Relationship i,Sometimes,Sometimes,Neutral,Family/Friends,Yes
27-30,Male,Lower Class,Undergraduate Student,8–10 hours,6–8 hours,Read or learn something new,3–5 times a week,5 (Very High),Panic attacks,Financial stre,Often,Sometimes,Neutral,Family/Friends,Yes
19-22,Male,Rich,Undergraduate Student,8–10 hours,6–8 hours,Talk to friends/family,1–2 times a week,4 (High),Panic attacks,Family expecta,Sometimes,Sometimes,Neutral,Family/Friends,Yes
23-26,Male,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,2 (Low),None of these,Not applicable,Almost every day,Sometimes,Neutral,Mental Health Apps,Yes
15-18,Female,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,2 (Low),Anxiety,Financial stre,Sometimes,Yes,Depressed / Burnt out,School/College Counselors,Yes
15-18,Female,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Scroll social media,Daily,4 (High),None of these,Not applicable,Sometimes,No,Neutral,School/College Counselors,Yes
23-26,Male,Middle Class,Undergraduate Student,8–10 hours,2–4 hours,Talk to friends/family,3–5 times a week,4 (High),Anxiety,Relationship i,Sometimes,Yes,Neutral,Family/Friends,Yes
15-18,Male,Lower Class,Currently Unemployed,Less than 6 hours,2–4 hours,Talk to friends/family,1–2 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Yes,Happy and stable,Mental Health Apps,No
27-30,Male,Middle Class,School Student,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Uncertainty ab,Sometimes,Sometimes,Anxious,Family/Friends,No
23-26,Female,Middle Class,School Student,8–10 hours,2–4 hours,Read or learn something new,1–2 times a week,2 (Low),Anxiety,Academic press,Almost every day,Yes,Neutral,Family/Friends,Yes
27-30,Male,Middle Class,Working Professional,8–10 hours,6–8 hours,Read or learn something new,1–2 times a week,1 (Very Low),None of these,Not applicable,Rarely,Yes,Neutral,Family/Friends,Yes
15-18,Female,Middle Class,School Student,Less than 6 hours,More than 8 hours,Watch movies / listen to music,Never,3 (Moderate),None of these,Not applicable,Rarely,Yes,Neutral,Support Groups,Yes
19-22,Male,Rich,Undergraduate Student,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,5 (Very High),Anxiety,Financial stre,Rarely,Yes,Stressed,Family/Friends,Yes
15-18,Male,Middle Class,School Student,Less than 6 hours,6–8 hours,Talk to friends/family,Never,3 (Moderate),None of these,Not applicable,Sometimes,Yes,Stressed,Online Therapy Platforms,Yes
23-26,Female,Middle Class,School Student,6–8 hours,More than 8 hours,Talk to friends/family,1–2 times a week,4 (High),Anxiety,Financial stre,Sometimes,Sometimes,Neutral,Family/Friends,Yes
19-22,Male,Middle Class,School Student,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Academic press,Often,Sometimes,Anxious,Mental Health Apps,Yes
19-22,Male,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),None of these,Not applicable,Rarely,Yes,Stressed,Support Groups,Yes
15-18,Female,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Go out / exercise,1–2 times a week,3 (Moderate),None of these,Not applicable,Rarely,No,Stressed,Family/Friends,Yes
27-30,Female,Lower Class,Undergraduate Student,6–8 hours,0–2 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Relationship i,Sometimes,Sometimes,Happy and stable,Family/Friends,Yes
27-30,Male,Rich,Undergraduate Student,8–10 hours,More than 8 hours,Scroll social media,1–2 times a week,4 (High),Anxiety,Academic press,Often,No,Stressed,Online Therapy Platforms,Yes
27-30,Female,Middle Class,Postgraduate Student,6–8 hours,2–4 hours,Read or learn something new,Never,4 (High),Panic attacks,Academic press,Often,Yes,Anxious,Mental Health Apps,Yes
23-26,Female,Middle Class,Undergraduate Student,Less than 6 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Anxiety,Academic press,Sometimes,No,Happy and stable,Online Therapy Platforms,Yes
19-22,Male,Middle Class,Undergraduate Student,6–8 hours,0–2 hours,Scroll social media,1–2 times a week,4 (High),Anxiety,Academic press,Often,Yes,Stressed,Family/Friends,Yes
19-22,Male,Lower Class,Undergraduate Student,6–8 hours,6–8 hours,Read or learn something new,1–2 times a week,4 (High),Panic attacks,Family expecta,Sometimes,Yes,Stressed,Family/Friends,Yes
19-22,Male,Rich,Working Professional,Less than 6 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,4 (High),Panic attacks,Relationship i,Almost every day,Sometimes,Happy and stable,School/College Counselors,Yes
27-30,Female,Lower Class,School Student,8–10 hours,2–4 hours,Scroll social media,Never,1 (Very Low),Anxiety,Academic press,Sometimes,Sometimes,Neutral,Mental Health Apps,Yes
19-22,Female,Lower Class,Undergraduate Student,8–10 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),Anxiety,Family expecta,Often,No,Neutral,Family/Friends,Yes
15-18,Male,Lower Class,Undergraduate Student,6–8 hours,0–2 hours,Read or learn something new,1–2 times a week,3 (Moderate),None of these,Not applicable,Often,Sometimes,Anxious,Online Therapy Platforms,Yes
15-18,Male,Rich,School Student,Less than 6 hours,6–8 hours,Read or learn something new,1–2 times a week,2 (Low),Anxiety,Academic press,Often,Yes,Neutral,Mental Health Apps,Yes
23-26,Male,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Talk to friends/family,Daily,3 (Moderate),Panic attacks,Financial stre,Sometimes,Sometimes,Happy and stable,Family/Friends,Yes
19-22,Female,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),None of these,Not applicable,Rarely,Yes,Anxious,Mental Health Apps,Yes
19-22,Female,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,4 (High),Anxiety,Relationship i,Rarely,Sometimes,Anxious,Online Therapy Platforms,No
19-22,Female,Rich,School Student,6–8 hours,More than 8 hours,Watch movies / listen to music,1–2 times a week,2 (Low),Anxiety,Relationship i,Sometimes,Yes,Depressed / Burnt out,Mental Health Apps,Yes
27-30,Female,Lower Class,School Student,6–8 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,2 (Low),Anxiety,Family expecta,Sometimes,Yes,Stressed,Mental Health Apps,Yes
27-30,Male,Lower Class,Currently Unemployed,Less than 6 hours,2–4 hours,Watch movies / listen to music,3–5 times a week,3 (Moderate),Anxiety,Social media c,Sometimes,No,Anxious,Mental Health Apps,Yes
19-22,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Sleep / do nothing,1–2 times a week,3 (Moderate),Panic attacks,Academic press,Rarely,No,Stressed,Mental Health Apps,Yes
23-26,Male,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Talk to friends/family,Never,3 (Moderate),Panic attacks,Financial stre,Sometimes,Sometimes,Anxious,Mental Health Apps,Yes
27-30,Male,Lower Class,Working Professional,8–10 hours,More than 8 hours,Watch movies / listen to music,Never,1 (Very Low),Panic attacks,Social media c,Sometimes,Sometimes,Anxious,Family/Friends,Yes
23-26,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Read or learn something new,Never,4 (High),Anxiety,Relationship i,Rarely,No,Neutral,Family/Friends,No
23-26,Male,Middle Class,Working Professional,8–10 hours,2–4 hours,Scroll social media,3–5 times a week,1 (Very Low),Depression,Financial stre,Sometimes,No,Anxious,Mental Health Apps,Yes
23-26,Male,Lower Class,Working Professional,6–8 hours,2–4 hours,Read or learn something new,1–2 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Yes,Happy and stable,Family/Friends,Yes
23-26,Female,Middle Class,Undergraduate Student,Less than 6 hours,6–8 hours,Overthinking,1–2 times a week,2 (Low),None of these,Not applicable,Often,No,Stressed,Family/Friends,Yes
23-26,Male,Middle Class,School Student,6–8 hours,6–8 hours,Watch movies / listen to music,Never,3 (Moderate),Anxiety,Family expecta,Sometimes,Sometimes,Neutral,Online Therapy Platforms,Yes
19-22,Female,Middle Class,Undergraduate Student,6–8 hours,0–2 hours,Read or learn something new,1–2 times a week,3 (Moderate),Panic attacks,Academic press,Often,Yes,Neutral,Mental Health Apps,Yes
19-22,Female,Middle Class,Postgraduate Student,6–8 hours,2–4 hours,Scroll social media,3–5 times a week,3 (Moderate),Panic attacks,Family expecta,Sometimes,No,Stressed,Family/Friends,Yes
15-18,Male,Lower Class,Postgraduate Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,4 (High),None of these,Not applicable,Almost every day,Sometimes,Neutral,Family/Friends,Yes
19-22,Female,Lower Class,Working Professional,Less than 6 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),None of these,Not applicable,Rarely,No,Neutral,Online Therapy Platforms,Yes
23-26,Female,Lower Class,Postgraduate Student,Less than 6 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Uncertainty ab,Rarely,Sometimes,Neutral,Family/Friends,Yes
15-18,Male,Lower Class,School Student,6–8 hours,6–8 hours,Go out / exercise,3–5 times a week,4 (High),Panic attacks,Family expecta,Often,Sometimes,Neutral,Online Therapy Platforms,Yes
15-18,Female,Middle Class,Postgraduate Student,8–10 hours,2–4 hours,Talk to friends/family,1–2 times a week,1 (Very Low),Panic attacks,Social media c,Rarely,Yes,Stressed,Family/Friends,Yes
15-18,Male,Middle Class,School Student,6–8 hours,6–8 hours,Scroll social media,3–5 times a week,4 (High),Depression,Academic press,Rarely,No,Neutral,Mental Health Apps,Yes
19-22,Male,Middle Class,School Student,6–8 hours,0–2 hours,Talk to friends/family,1–2 times a week,2 (Low),None of these,Not applicable,Sometimes,Yes,Neutral,Family/Friends,No
23-26,Male,Lower Class,Undergraduate Student,6–8 hours,More than 8 hours,Scroll social media,Never,4 (High),Anxiety,Academic press,Often,Yes,Anxious,Mental Health Apps,No
27-30,Female,Lower Class,Postgraduate Student,6–8 hours,0–2 hours,Talk to friends/family,1–2 times a week,2 (Low),None of these,Not applicable,Often,Sometimes,Anxious,Family/Friends,Yes
23-26,Male,Rich,Undergraduate Student,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Uncertainty ab,Rarely,Yes,Neutral,School/College Counselors,Yes
19-22,Male,Lower Class,Working Professional,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),None of these,Not applicable,Often,Yes,Neutral,Online Therapy Platforms,Yes
19-22,Female,Middle Class,Working Professional,Less than 6 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Relationship i,Rarely,No,Neutral,Family/Friends,Yes
23-26,Female,Rich,Postgraduate Student,Less than 6 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),None of these,Not applicable,Almost every day,Yes,Anxious,Family/Friends,Yes
15-18,Male,Rich,Undergraduate Student,6–8 hours,2–4 hours,Sleep / do nothing,1–2 times a week,3 (Moderate),Anxiety,Relationship i,Rarely,Sometimes,Neutral,Family/Friends,Yes
23-26,Male,Middle Class,Postgraduate Student,6–8 hours,6–8 hours,Talk to friends/family,1–2 times a week,2 (Low),Anxiety,Financial stre,Almost every day,Sometimes,Depressed / Burnt out,Support Groups,Yes
19-22,Male,Middle Class,Postgraduate Student,8–10 hours,6–8 hours,Scroll social media,3–5 times a week,4 (High),None of these,Not applicable,Sometimes,No,Stressed,Mental Health Apps,Yes
23-26,Female,Lower Class,Undergraduate Student,Less than 6 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Sometimes,Neutral,Family/Friends,No
23-26,Female,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Anxiety,Uncertainty ab,Sometimes,No,Happy and stable,Family/Friends,Yes
15-18,Female,Lower Class,Working Professional,Less than 6 hours,0–2 hours,Scroll social media,Never,4 (High),Anxiety,Social media c,Often,Sometimes,Happy and stable,Online Therapy Platforms,Yes
19-22,Female,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Go out / exercise,1–2 times a week,5 (Very High),Anxiety,Family expecta,Rarely,Yes,Happy and stable,Family/Friends,No
23-26,Male,Middle Class,Undergraduate Student,8–10 hours,2–4 hours,Read or learn something new,Never,4 (High),Panic attacks,Academic press,Rarely,Yes,Neutral,Family/Friends,Yes
23-26,Male,Lower Class,Undergraduate Student,8–10 hours,6–8 hours,Scroll social media,1–2 times a week,4 (High),None of these,Not applicable,Almost every day,No,Neutral,Family/Friends,Yes
27-30,Male,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,3–5 times a week,3 (Moderate),Anxiety,Academic press,Sometimes,No,Neutral,School/College Counselors,Yes
23-26,Female,Lower Class,Undergraduate Student,6–8 hours,More than 8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Anxiety,Financial stre,Often,Sometimes,Stressed,Support Groups,Yes
19-22,Male,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Talk to friends/family,1–2 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Yes,Stressed,Family/Friends,Yes
19-22,Male,Lower Class,School Student,6–8 hours,More than 8 hours,Sleep / do nothing,Never,3 (Moderate),Depression,Academic press,Sometimes,Yes,Anxious,Online Therapy Platforms,Yes
15-18,Male,Rich,Undergraduate Student,8–10 hours,0–2 hours,Read or learn something new,1–2 times a week,3 (Moderate),Anxiety,Uncertainty ab,Rarely,Yes,Stressed,Family/Friends,Yes
15-18,Male,Middle Class,Undergraduate Student,8–10 hours,0–2 hours,Scroll social media,1–2 times a week,2 (Low),Panic attacks,Academic press,Often,Sometimes,Neutral,Family/Friends,Yes
19-22,Male,Middle Class,Postgraduate Student,6–8 hours,2–4 hours,Talk to friends/family,1–2 times a week,2 (Low),Depression,Academic press,Almost every day,No,Neutral,Family/Friends,Yes
19-22,Female,Lower Class,School Student,8–10 hours,6–8 hours,Read or learn something new,Daily,2 (Low),Anxiety,Social media c,Often,Sometimes,Neutral,Family/Friends,No
23-26,Male,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Watch movies / listen to music,3–5 times a week,4 (High),None of these,Not applicable,Sometimes,No,Stressed,Support Groups,Yes
27-30,Male,Middle Class,Working Professional,8–10 hours,More than 8 hours,Scroll social media,Daily,3 (Moderate),None of these,Not applicable,Sometimes,Sometimes,Neutral,Mental Health Apps,Yes
15-18,Female,Middle Class,School Student,Less than 6 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),Anxiety,Family expecta,Sometimes,Sometimes,Happy and stable,Family/Friends,Yes
27-30,Male,Middle Class,School Student,8–10 hours,2–4 hours,Watch movies / listen to music,Never,3 (Moderate),None of these,Not applicable,Sometimes,No,Anxious,Mental Health Apps,Yes
15-18,Female,Lower Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Academic press,Rarely,No,Neutral,Family/Friends,Yes
19-22,Female,Middle Class,Postgraduate Student,Less than 6 hours,2–4 hours,Scroll social media,3–5 times a week,3 (Moderate),Anxiety,Relationship i,Sometimes,Yes,Happy and stable,Family/Friends,Yes
27-30,Female,Lower Class,School Student,8–10 hours,6–8 hours,Talk to friends/family,Never,1 (Very Low),Panic attacks,Financial stre,Sometimes,No,Anxious,Family/Friends,Yes
15-18,Female,Lower Class,School Student,6–8 hours,More than 8 hours,Watch movies / listen to music,1–2 times a week,1 (Very Low),Depression,Financial stre,Rarely,Sometimes,Stressed,Mental Health Apps,Yes
19-22,Female,Middle Class,Undergraduate Student,Less than 6 hours,2–4 hours,Talk to friends/family,Never,4 (High),Depression,Family expecta,Sometimes,Sometimes,Neutral,Family/Friends,Yes
15-18,Female,Lower Class,Postgraduate Student,6–8 hours,More than 8 hours,Watch movies / listen to music,3–5 times a week,4 (High),None of these,Not applicable,Often,Sometimes,Happy and stable,Family/Friends,Yes
19-22,Female,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Read or learn something new,1–2 times a week,4 (High),None of these,Not applicable,Rarely,No,Happy and stable,Family/Friends,Yes
19-22,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Talk to friends/family,1–2 times a week,4 (High),None of these,Not applicable,Sometimes,No,Neutral,Family/Friends,Yes
19-22,Male,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Read or learn something new,1–2 times a week,3 (Moderate),Panic attacks,Relationship i,Sometimes,Sometimes,Anxious,Family/Friends,Yes
15-18,Male,Middle Class,Working Professional,8–10 hours,0–2 hours,Scroll social media,1–2 times a week,4 (High),None of these,Not applicable,Often,No,Stressed,Family/Friends,No
19-22,Male,Middle Class,Undergraduate Student,Less than 6 hours,2–4 hours,Sleep / do nothing,Never,4 (High),Panic attacks,Academic press,Sometimes,Yes,Stressed,Mental Health Apps,Yes
23-26,Male,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Family expecta,Almost every day,No,Stressed,Online Therapy Platforms,Yes
15-18,Female,Lower Class,Postgraduate Student,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,1 (Very Low),None of these,Not applicable,Often,Sometimes,Stressed,Mental Health Apps,Yes
19-22,Female,Lower Class,School Student,6–8 hours,More than 8 hours,Talk to friends/family,3–5 times a week,2 (Low),Panic attacks,Relationship i,Sometimes,No,Neutral,Support Groups,Yes
15-18,Female,Middle Class,Working Professional,6–8 hours,2–4 hours,Read or learn something new,1–2 times a week,1 (Very Low),Depression,Social media c,Sometimes,Sometimes,Neutral,Family/Friends,No
15-18,Male,Lower Class,Undergraduate Student,Less than 6 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Anxiety,Relationship i,Sometimes,Yes,Stressed,Family/Friends,Yes
27-30,Male,Middle Class,Undergraduate Student,8–10 hours,2–4 hours,Go out / exercise,Never,3 (Moderate),Anxiety,Relationship i,Almost every day,No,Neutral,Family/Friends,Yes
15-18,Male,Middle Class,Working Professional,Less than 6 hours,2–4 hours,Read or learn something new,3–5 times a week,1 (Very Low),Anxiety,Academic press,Often,Sometimes,Neutral,School/College Counselors,Yes
19-22,Female,Middle Class,School Student,6–8 hours,2–4 hours,Scroll social media,3–5 times a week,3 (Moderate),Depression,Academic press,Sometimes,Sometimes,Happy and stable,Family/Friends,No
27-30,Female,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Read or learn something new,1–2 times a week,3 (Moderate),Anxiety,Relationship i,Sometimes,Sometimes,Neutral,Family/Friends,Yes
15-18,Male,Lower Class,Undergraduate Student,8–10 hours,2–4 hours,Scroll social media,1–2 times a week,2 (Low),Depression,Academic press,Sometimes,Sometimes,Neutral,Mental Health Apps,Yes
23-26,Female,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Watch movies / listen to music,3–5 times a week,4 (High),Anxiety,Academic press,Sometimes,Yes,Stressed,Family/Friends,Yes
15-18,Male,Rich,Postgraduate Student,8–10 hours,6–8 hours,Read or learn something new,Never,4 (High),Anxiety,Social media c,Sometimes,Yes,Stressed,Mental Health Apps,Yes
15-18,Male,Rich,Postgraduate Student,6–8 hours,2–4 hours,Talk to friends/family,Never,3 (Moderate),Depression,Family expecta,Sometimes,Sometimes,Stressed,Family/Friends,Yes
15-18,Male,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,Never,3 (Moderate),Depression,Financial stre,Sometimes,Sometimes,Happy and stable,Family/Friends,Yes
23-26,Male,Middle Class,School Student,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,4 (High),Panic attacks,Financial stre,Sometimes,No,Happy and stable,Mental Health Apps,Yes
19-22,Male,Lower Class,Postgraduate Student,8–10 hours,6–8 hours,Talk to friends/family,Daily,2 (Low),None of these,Not applicable,Sometimes,Yes,Neutral,Family/Friends,Yes
